Input Length: 8192
Nova-based SHA256 compression function iterations
=========================================================
Prepare Nova ProverParams & VerifierParams
Initialize FoldingScheme
PublicParams::setup, took 1.696872333s 
Generating a RecursiveSNARK...
Nova::prove_step 0: 389.415916ms
Nova::prove_step 1: 387.030417ms
Nova::prove_step 2: 518.287125ms
Nova::prove_step 3: 535.410709ms
Nova::prove_step 4: 522.079625ms
Nova::prove_step 5: 531.722833ms
Nova::prove_step 6: 531.392084ms
Nova::prove_step 7: 571.548416ms
Nova::prove_step 8: 665.381875ms
Nova::prove_step 9: 571.4155ms
Nova::prove_step 10: 554.564416ms
Nova::prove_step 11: 564.960083ms
Nova::prove_step 12: 559.853458ms
Nova::prove_step 13: 547.9535ms
Nova::prove_step 14: 559.652542ms
Nova::prove_step 15: 560.690875ms
Nova::prove_step 16: 533.592083ms
Nova::prove_step 17: 549.464584ms
Nova::prove_step 18: 570.151542ms
Nova::prove_step 19: 574.249708ms
Nova::prove_step 20: 563.069875ms
Nova::prove_step 21: 566.05775ms
Nova::prove_step 22: 552.469125ms
Nova::prove_step 23: 546.030292ms
Nova::prove_step 24: 560.207792ms
Nova::prove_step 25: 564.339042ms
Nova::prove_step 26: 552.926333ms
Nova::prove_step 27: 542.380375ms
Nova::prove_step 28: 522.363208ms
Nova::prove_step 29: 744.686833ms
Nova::prove_step 30: 563.288792ms
Nova::prove_step 31: 546.637208ms
Nova::prove_step 32: 528.0775ms
Nova::prove_step 33: 530.959417ms
Nova::prove_step 34: 523.627791ms
Nova::prove_step 35: 616.060875ms
Nova::prove_step 36: 763.751333ms
Nova::prove_step 37: 577.738375ms
Nova::prove_step 38: 676.26725ms
Nova::prove_step 39: 562.801334ms
Nova::prove_step 40: 578.800875ms
Nova::prove_step 41: 581.903208ms
Nova::prove_step 42: 559.968541ms
Nova::prove_step 43: 561.24125ms
Nova::prove_step 44: 549.770875ms
Nova::prove_step 45: 551.215458ms
Nova::prove_step 46: 540.909625ms
Nova::prove_step 47: 584.304959ms
Nova::prove_step 48: 555.298375ms
Nova::prove_step 49: 541.677792ms
Nova::prove_step 50: 542.77725ms
Nova::prove_step 51: 541.650083ms
Nova::prove_step 52: 537.277125ms
Nova::prove_step 53: 549.682709ms
Nova::prove_step 54: 544.696042ms
Nova::prove_step 55: 546.218834ms
Nova::prove_step 56: 541.004458ms
Nova::prove_step 57: 547.528333ms
Nova::prove_step 58: 540.244708ms
Nova::prove_step 59: 545.094416ms
Nova::prove_step 60: 531.131375ms
Nova::prove_step 61: 534.916791ms
Nova::prove_step 62: 530.232959ms
Nova::prove_step 63: 550.523292ms
Nova::prove_step 64: 530.373167ms
Nova::prove_step 65: 553.631542ms
Nova::prove_step 66: 551.025208ms
Nova::prove_step 67: 533.692208ms
Nova::prove_step 68: 547.239458ms
Nova::prove_step 69: 540.093125ms
Nova::prove_step 70: 536.39325ms
Nova::prove_step 71: 530.645334ms
Nova::prove_step 72: 531.828083ms
Nova::prove_step 73: 544.258042ms
Nova::prove_step 74: 533.969834ms
Nova::prove_step 75: 545.657292ms
Nova::prove_step 76: 540.6045ms
Nova::prove_step 77: 561.444084ms
Nova::prove_step 78: 542.400875ms
Nova::prove_step 79: 575.780667ms
Nova::prove_step 80: 530.860875ms
Nova::prove_step 81: 547.152959ms
Nova::prove_step 82: 619.363542ms
Nova::prove_step 83: 541.52525ms
Nova::prove_step 84: 543.10525ms
Nova::prove_step 85: 538.828083ms
Nova::prove_step 86: 526.05525ms
Nova::prove_step 87: 531.556667ms
Nova::prove_step 88: 533.093ms
Nova::prove_step 89: 526.875209ms
Nova::prove_step 90: 523.975291ms
Nova::prove_step 91: 531.850459ms
Nova::prove_step 92: 546.277ms
Nova::prove_step 93: 525.808333ms
Nova::prove_step 94: 536.119584ms
Nova::prove_step 95: 550.568917ms
Nova::prove_step 96: 564.694292ms
Nova::prove_step 97: 633.077875ms
Nova::prove_step 98: 639.183833ms
Nova::prove_step 99: 633.9865ms
Nova::prove_step 100: 572.138042ms
Nova::prove_step 101: 556.227208ms
Nova::prove_step 102: 698.704583ms
Nova::prove_step 103: 589.723083ms
Nova::prove_step 104: 565.205416ms
Nova::prove_step 105: 559.86275ms
Nova::prove_step 106: 568.020708ms
Nova::prove_step 107: 535.633792ms
Nova::prove_step 108: 620.849ms
Nova::prove_step 109: 547.134917ms
Nova::prove_step 110: 562.75625ms
Nova::prove_step 111: 556.783208ms
Nova::prove_step 112: 560.806709ms
Nova::prove_step 113: 550.33ms
Nova::prove_step 114: 590.206833ms
Nova::prove_step 115: 565.313083ms
Nova::prove_step 116: 568.886625ms
Nova::prove_step 117: 538.9305ms
Nova::prove_step 118: 552.941333ms
Nova::prove_step 119: 580.241917ms
Nova::prove_step 120: 560.343625ms
Nova::prove_step 121: 538.131167ms
Nova::prove_step 122: 548.358083ms
Nova::prove_step 123: 548.540584ms
Nova::prove_step 124: 538.640625ms
Nova::prove_step 125: 536.042583ms
Nova::prove_step 126: 526.132916ms
Nova::prove_step 127: 535.806833ms
Nova::prove_step 128: 530.204084ms
Total time taken by RecursiveSNARK::prove_steps: 71.72456125s
Run the Nova's IVC verifier
RecursiveSNARK::verify took 47.941583ms
