Input Length: 65536
Nova-based SHA256 compression function iterations
=========================================================
Prepare Nova ProverParams & VerifierParams
Initialize FoldingScheme
PublicParams::setup, took 1.742028792s 
Generating a RecursiveSNARK...
Nova::prove_step 0: 414.597375ms
Nova::prove_step 1: 391.048333ms
Nova::prove_step 2: 535.5705ms
Nova::prove_step 3: 579.235959ms
Nova::prove_step 4: 538.086625ms
Nova::prove_step 5: 570.354375ms
Nova::prove_step 6: 540.109583ms
Nova::prove_step 7: 519.153125ms
Nova::prove_step 8: 529.58825ms
Nova::prove_step 9: 537.81775ms
Nova::prove_step 10: 529.757959ms
Nova::prove_step 11: 541.181208ms
Nova::prove_step 12: 534.910875ms
Nova::prove_step 13: 527.994917ms
Nova::prove_step 14: 527.318875ms
Nova::prove_step 15: 544.748459ms
Nova::prove_step 16: 544.984875ms
Nova::prove_step 17: 605.367792ms
Nova::prove_step 18: 526.726625ms
Nova::prove_step 19: 567.547ms
Nova::prove_step 20: 541.013083ms
Nova::prove_step 21: 535.330958ms
Nova::prove_step 22: 549.588375ms
Nova::prove_step 23: 523.473291ms
Nova::prove_step 24: 532.082042ms
Nova::prove_step 25: 527.220458ms
Nova::prove_step 26: 542.7375ms
Nova::prove_step 27: 514.201125ms
Nova::prove_step 28: 521.256708ms
Nova::prove_step 29: 534.56125ms
Nova::prove_step 30: 525.717ms
Nova::prove_step 31: 522.347083ms
Nova::prove_step 32: 530.928458ms
Nova::prove_step 33: 522.217666ms
Nova::prove_step 34: 523.3345ms
Nova::prove_step 35: 519.696375ms
Nova::prove_step 36: 523.84175ms
Nova::prove_step 37: 542.651125ms
Nova::prove_step 38: 525.910875ms
Nova::prove_step 39: 534.533875ms
Nova::prove_step 40: 526.828167ms
Nova::prove_step 41: 523.468542ms
Nova::prove_step 42: 650.975416ms
Nova::prove_step 43: 556.665792ms
Nova::prove_step 44: 544.799375ms
Nova::prove_step 45: 530.023583ms
Nova::prove_step 46: 525.812417ms
Nova::prove_step 47: 524.703291ms
Nova::prove_step 48: 531.353583ms
Nova::prove_step 49: 527.068917ms
Nova::prove_step 50: 529.693083ms
Nova::prove_step 51: 526.362458ms
Nova::prove_step 52: 515.719792ms
Nova::prove_step 53: 534.024125ms
Nova::prove_step 54: 522.96975ms
Nova::prove_step 55: 532.962625ms
Nova::prove_step 56: 528.693334ms
Nova::prove_step 57: 551.319916ms
Nova::prove_step 58: 528.08525ms
Nova::prove_step 59: 520.28ms
Nova::prove_step 60: 542.777625ms
Nova::prove_step 61: 528.703625ms
Nova::prove_step 62: 523.130917ms
Nova::prove_step 63: 570.598375ms
Nova::prove_step 64: 534.965625ms
Nova::prove_step 65: 516.9515ms
Nova::prove_step 66: 520.431667ms
Nova::prove_step 67: 523.392583ms
Nova::prove_step 68: 520.164792ms
Nova::prove_step 69: 523.178875ms
Nova::prove_step 70: 535.83975ms
Nova::prove_step 71: 526.379459ms
Nova::prove_step 72: 512.940708ms
Nova::prove_step 73: 522.421375ms
Nova::prove_step 74: 516.609333ms
Nova::prove_step 75: 561.513292ms
Nova::prove_step 76: 555.880958ms
Nova::prove_step 77: 540.285ms
Nova::prove_step 78: 526.747458ms
Nova::prove_step 79: 524.060416ms
Nova::prove_step 80: 528.543375ms
Nova::prove_step 81: 523.189209ms
Nova::prove_step 82: 526.362792ms
Nova::prove_step 83: 527.579ms
Nova::prove_step 84: 528.892417ms
Nova::prove_step 85: 548.016625ms
Nova::prove_step 86: 534.809541ms
Nova::prove_step 87: 527.185333ms
Nova::prove_step 88: 523.964ms
Nova::prove_step 89: 528.5755ms
Nova::prove_step 90: 524.693583ms
Nova::prove_step 91: 520.920458ms
Nova::prove_step 92: 537.912875ms
Nova::prove_step 93: 524.3375ms
Nova::prove_step 94: 523.186875ms
Nova::prove_step 95: 538.989958ms
Nova::prove_step 96: 523.041291ms
Nova::prove_step 97: 520.288417ms
Nova::prove_step 98: 528.340125ms
Nova::prove_step 99: 521.932291ms
Nova::prove_step 100: 525.537125ms
Nova::prove_step 101: 524.116875ms
Nova::prove_step 102: 520.787834ms
Nova::prove_step 103: 537.881584ms
Nova::prove_step 104: 524.388417ms
Nova::prove_step 105: 524.281625ms
Nova::prove_step 106: 525.166125ms
Nova::prove_step 107: 528.218625ms
Nova::prove_step 108: 566.567167ms
Nova::prove_step 109: 527.841709ms
Nova::prove_step 110: 523.858209ms
Nova::prove_step 111: 533.645209ms
Nova::prove_step 112: 525.065792ms
Nova::prove_step 113: 531.009666ms
Nova::prove_step 114: 522.0985ms
Nova::prove_step 115: 534.289083ms
Nova::prove_step 116: 523.960042ms
Nova::prove_step 117: 518.895542ms
Nova::prove_step 118: 528.361792ms
Nova::prove_step 119: 524.251417ms
Nova::prove_step 120: 527.234125ms
Nova::prove_step 121: 525.359667ms
Nova::prove_step 122: 523.642208ms
Nova::prove_step 123: 528.630292ms
Nova::prove_step 124: 541.879166ms
Nova::prove_step 125: 525.377333ms
Nova::prove_step 126: 517.678ms
Nova::prove_step 127: 527.120208ms
Nova::prove_step 128: 528.539375ms
Nova::prove_step 129: 527.262708ms
Nova::prove_step 130: 526.296584ms
Nova::prove_step 131: 522.721542ms
Nova::prove_step 132: 547.703708ms
Nova::prove_step 133: 532.626084ms
Nova::prove_step 134: 537.6855ms
Nova::prove_step 135: 533.232958ms
Nova::prove_step 136: 525.778042ms
Nova::prove_step 137: 528.429375ms
Nova::prove_step 138: 530.533625ms
Nova::prove_step 139: 582.799958ms
Nova::prove_step 140: 532.681375ms
Nova::prove_step 141: 528.378333ms
Nova::prove_step 142: 529.086708ms
Nova::prove_step 143: 526.578083ms
Nova::prove_step 144: 521.016667ms
Nova::prove_step 145: 521.703958ms
Nova::prove_step 146: 530.11275ms
Nova::prove_step 147: 524.88ms
Nova::prove_step 148: 529.325042ms
Nova::prove_step 149: 519.31425ms
Nova::prove_step 150: 523.861917ms
Nova::prove_step 151: 525.174125ms
Nova::prove_step 152: 525.990542ms
Nova::prove_step 153: 525.948208ms
Nova::prove_step 154: 534.450375ms
Nova::prove_step 155: 631.496125ms
Nova::prove_step 156: 543.765417ms
Nova::prove_step 157: 534.916459ms
Nova::prove_step 158: 530.406708ms
Nova::prove_step 159: 524.897917ms
Nova::prove_step 160: 534.215291ms
Nova::prove_step 161: 521.186667ms
Nova::prove_step 162: 538.088375ms
Nova::prove_step 163: 566.634417ms
Nova::prove_step 164: 535.240458ms
Nova::prove_step 165: 528.516875ms
Nova::prove_step 166: 524.947583ms
Nova::prove_step 167: 546.651833ms
Nova::prove_step 168: 523.447416ms
Nova::prove_step 169: 527.624541ms
Nova::prove_step 170: 550.067958ms
Nova::prove_step 171: 526.541583ms
Nova::prove_step 172: 522.184625ms
Nova::prove_step 173: 530.328708ms
Nova::prove_step 174: 525.028792ms
Nova::prove_step 175: 532.858417ms
Nova::prove_step 176: 543.813667ms
Nova::prove_step 177: 532.296125ms
Nova::prove_step 178: 534.076417ms
Nova::prove_step 179: 528.595125ms
Nova::prove_step 180: 529.913042ms
Nova::prove_step 181: 535.096875ms
Nova::prove_step 182: 530.867084ms
Nova::prove_step 183: 525.77175ms
Nova::prove_step 184: 528.720458ms
Nova::prove_step 185: 523.898708ms
Nova::prove_step 186: 519.834458ms
Nova::prove_step 187: 528.247ms
Nova::prove_step 188: 556.506708ms
Nova::prove_step 189: 527.670084ms
Nova::prove_step 190: 524.659083ms
Nova::prove_step 191: 534.084875ms
Nova::prove_step 192: 528.989875ms
Nova::prove_step 193: 528.542084ms
Nova::prove_step 194: 526.241917ms
Nova::prove_step 195: 527.745917ms
Nova::prove_step 196: 528.808541ms
Nova::prove_step 197: 527.939875ms
Nova::prove_step 198: 544.334791ms
Nova::prove_step 199: 528.34225ms
Nova::prove_step 200: 527.139625ms
Nova::prove_step 201: 526.219834ms
Nova::prove_step 202: 527.322ms
Nova::prove_step 203: 530.220375ms
Nova::prove_step 204: 548.396459ms
Nova::prove_step 205: 547.086667ms
Nova::prove_step 206: 520.364875ms
Nova::prove_step 207: 528.910042ms
Nova::prove_step 208: 537.852209ms
Nova::prove_step 209: 533.194625ms
Nova::prove_step 210: 528.8505ms
Nova::prove_step 211: 531.119875ms
Nova::prove_step 212: 530.135833ms
Nova::prove_step 213: 529.2175ms
Nova::prove_step 214: 524.119666ms
Nova::prove_step 215: 529.804667ms
Nova::prove_step 216: 524.764084ms
Nova::prove_step 217: 542.924542ms
Nova::prove_step 218: 526.357375ms
Nova::prove_step 219: 524.959292ms
Nova::prove_step 220: 527.275916ms
Nova::prove_step 221: 528.214958ms
Nova::prove_step 222: 528.574458ms
Nova::prove_step 223: 524.161584ms
Nova::prove_step 224: 528.523375ms
Nova::prove_step 225: 524.815458ms
Nova::prove_step 226: 530.272208ms
Nova::prove_step 227: 544.031ms
Nova::prove_step 228: 529.561167ms
Nova::prove_step 229: 538.133708ms
Nova::prove_step 230: 622.967ms
Nova::prove_step 231: 527.327916ms
Nova::prove_step 232: 536.763375ms
Nova::prove_step 233: 530.466541ms
Nova::prove_step 234: 569.303292ms
Nova::prove_step 235: 541.483666ms
Nova::prove_step 236: 568.498917ms
Nova::prove_step 237: 527.840875ms
Nova::prove_step 238: 523.196ms
Nova::prove_step 239: 526.091708ms
Nova::prove_step 240: 529.412167ms
Nova::prove_step 241: 530.701417ms
Nova::prove_step 242: 517.929583ms
Nova::prove_step 243: 528.044125ms
Nova::prove_step 244: 544.679583ms
Nova::prove_step 245: 549.861834ms
Nova::prove_step 246: 534.524959ms
Nova::prove_step 247: 529.22875ms
Nova::prove_step 248: 530.079834ms
Nova::prove_step 249: 520.280709ms
Nova::prove_step 250: 527.2565ms
Nova::prove_step 251: 541.850208ms
Nova::prove_step 252: 540.786792ms
Nova::prove_step 253: 530.338958ms
Nova::prove_step 254: 528.751458ms
Nova::prove_step 255: 532.312541ms
Nova::prove_step 256: 525.900625ms
Nova::prove_step 257: 524.77225ms
Nova::prove_step 258: 523.753208ms
Nova::prove_step 259: 539.521708ms
Nova::prove_step 260: 530.487792ms
Nova::prove_step 261: 521.901583ms
Nova::prove_step 262: 535.612708ms
Nova::prove_step 263: 528.36225ms
Nova::prove_step 264: 529.074667ms
Nova::prove_step 265: 518.846209ms
Nova::prove_step 266: 582.799333ms
Nova::prove_step 267: 528.5565ms
Nova::prove_step 268: 676.046541ms
Nova::prove_step 269: 620.044041ms
Nova::prove_step 270: 538.169291ms
Nova::prove_step 271: 536.429709ms
Nova::prove_step 272: 523.955625ms
Nova::prove_step 273: 537.287834ms
Nova::prove_step 274: 525.364459ms
Nova::prove_step 275: 540.613417ms
Nova::prove_step 276: 521.2955ms
Nova::prove_step 277: 528.137042ms
Nova::prove_step 278: 543.469833ms
Nova::prove_step 279: 529.081792ms
Nova::prove_step 280: 537.34675ms
Nova::prove_step 281: 529.767125ms
Nova::prove_step 282: 548.255834ms
Nova::prove_step 283: 531.077459ms
Nova::prove_step 284: 531.943625ms
Nova::prove_step 285: 529.378792ms
Nova::prove_step 286: 528.2745ms
Nova::prove_step 287: 529.775833ms
Nova::prove_step 288: 525.080125ms
Nova::prove_step 289: 528.70475ms
Nova::prove_step 290: 535.261125ms
Nova::prove_step 291: 530.229791ms
Nova::prove_step 292: 529.423417ms
Nova::prove_step 293: 531.763333ms
Nova::prove_step 294: 525.131291ms
Nova::prove_step 295: 527.662333ms
Nova::prove_step 296: 525.337625ms
Nova::prove_step 297: 522.951167ms
Nova::prove_step 298: 524.157083ms
Nova::prove_step 299: 526.928334ms
Nova::prove_step 300: 530.471208ms
Nova::prove_step 301: 569.318167ms
Nova::prove_step 302: 559.234375ms
Nova::prove_step 303: 531.146083ms
Nova::prove_step 304: 525.759208ms
Nova::prove_step 305: 526.837292ms
Nova::prove_step 306: 528.880375ms
Nova::prove_step 307: 526.4725ms
Nova::prove_step 308: 527.708667ms
Nova::prove_step 309: 527.98275ms
Nova::prove_step 310: 549.352833ms
Nova::prove_step 311: 532.334917ms
Nova::prove_step 312: 535.035917ms
Nova::prove_step 313: 526.816208ms
Nova::prove_step 314: 543.935541ms
Nova::prove_step 315: 522.896791ms
Nova::prove_step 316: 527.4985ms
Nova::prove_step 317: 545.641208ms
Nova::prove_step 318: 526.705917ms
Nova::prove_step 319: 532.051458ms
Nova::prove_step 320: 543.265625ms
Nova::prove_step 321: 534.229875ms
Nova::prove_step 322: 523.396583ms
Nova::prove_step 323: 525.194166ms
Nova::prove_step 324: 523.02775ms
Nova::prove_step 325: 524.807125ms
Nova::prove_step 326: 522.339167ms
Nova::prove_step 327: 526.833208ms
Nova::prove_step 328: 527.538917ms
Nova::prove_step 329: 530.468792ms
Nova::prove_step 330: 526.068459ms
Nova::prove_step 331: 526.414583ms
Nova::prove_step 332: 536.636584ms
Nova::prove_step 333: 523.38475ms
Nova::prove_step 334: 532.612959ms
Nova::prove_step 335: 522.489834ms
Nova::prove_step 336: 530.84725ms
Nova::prove_step 337: 524.643625ms
Nova::prove_step 338: 522.434084ms
Nova::prove_step 339: 525.579916ms
Nova::prove_step 340: 529.572167ms
Nova::prove_step 341: 524.849416ms
Nova::prove_step 342: 526.718708ms
Nova::prove_step 343: 524.081792ms
Nova::prove_step 344: 539.229792ms
Nova::prove_step 345: 527.221125ms
Nova::prove_step 346: 526.833667ms
Nova::prove_step 347: 516.048333ms
Nova::prove_step 348: 532.652208ms
Nova::prove_step 349: 537.551125ms
Nova::prove_step 350: 526.758875ms
Nova::prove_step 351: 530.933791ms
Nova::prove_step 352: 525.522875ms
Nova::prove_step 353: 529.73525ms
Nova::prove_step 354: 524.656209ms
Nova::prove_step 355: 524.1895ms
Nova::prove_step 356: 525.876416ms
Nova::prove_step 357: 539.905333ms
Nova::prove_step 358: 523.3115ms
Nova::prove_step 359: 540.183167ms
Nova::prove_step 360: 524.884292ms
Nova::prove_step 361: 531.017ms
Nova::prove_step 362: 523.716209ms
Nova::prove_step 363: 528.294625ms
Nova::prove_step 364: 530.827375ms
Nova::prove_step 365: 535.423625ms
Nova::prove_step 366: 525.098708ms
Nova::prove_step 367: 518.158625ms
Nova::prove_step 368: 521.339ms
Nova::prove_step 369: 528.608958ms
Nova::prove_step 370: 528.588834ms
Nova::prove_step 371: 525.085917ms
Nova::prove_step 372: 520.387833ms
Nova::prove_step 373: 523.022084ms
Nova::prove_step 374: 527.9315ms
Nova::prove_step 375: 527.592167ms
Nova::prove_step 376: 525.670917ms
Nova::prove_step 377: 533.248083ms
Nova::prove_step 378: 535.593958ms
Nova::prove_step 379: 532.043459ms
Nova::prove_step 380: 530.554541ms
Nova::prove_step 381: 640.819125ms
Nova::prove_step 382: 532.791625ms
Nova::prove_step 383: 541.211708ms
Nova::prove_step 384: 523.204875ms
Nova::prove_step 385: 534.992292ms
Nova::prove_step 386: 524.981334ms
Nova::prove_step 387: 542.673708ms
Nova::prove_step 388: 532.180667ms
Nova::prove_step 389: 521.388375ms
Nova::prove_step 390: 535.042584ms
Nova::prove_step 391: 527.175042ms
Nova::prove_step 392: 528.53775ms
Nova::prove_step 393: 523.679125ms
Nova::prove_step 394: 524.273125ms
Nova::prove_step 395: 539.878666ms
Nova::prove_step 396: 530.61775ms
Nova::prove_step 397: 526.376ms
Nova::prove_step 398: 548.57925ms
Nova::prove_step 399: 527.31725ms
Nova::prove_step 400: 528.1095ms
Nova::prove_step 401: 523.796292ms
Nova::prove_step 402: 517.849875ms
Nova::prove_step 403: 526.350916ms
Nova::prove_step 404: 524.067334ms
Nova::prove_step 405: 539.638959ms
Nova::prove_step 406: 546.632ms
Nova::prove_step 407: 538.587583ms
Nova::prove_step 408: 523.200458ms
Nova::prove_step 409: 525.210708ms
Nova::prove_step 410: 528.753458ms
Nova::prove_step 411: 529.329458ms
Nova::prove_step 412: 541.088083ms
Nova::prove_step 413: 530.659541ms
Nova::prove_step 414: 564.591083ms
Nova::prove_step 415: 524.646291ms
Nova::prove_step 416: 534.751833ms
Nova::prove_step 417: 528.470792ms
Nova::prove_step 418: 520.786208ms
Nova::prove_step 419: 528.912417ms
Nova::prove_step 420: 527.154125ms
Nova::prove_step 421: 526.835042ms
Nova::prove_step 422: 530.500667ms
Nova::prove_step 423: 543.482666ms
Nova::prove_step 424: 528.856875ms
Nova::prove_step 425: 536.294583ms
Nova::prove_step 426: 526.757792ms
Nova::prove_step 427: 533.230333ms
Nova::prove_step 428: 526.960958ms
Nova::prove_step 429: 527.656917ms
Nova::prove_step 430: 531.984125ms
Nova::prove_step 431: 533.860833ms
Nova::prove_step 432: 526.776583ms
Nova::prove_step 433: 536.580666ms
Nova::prove_step 434: 523.161291ms
Nova::prove_step 435: 526.929125ms
Nova::prove_step 436: 522.480625ms
Nova::prove_step 437: 525.329458ms
Nova::prove_step 438: 524.911167ms
Nova::prove_step 439: 528.789541ms
Nova::prove_step 440: 526.333125ms
Nova::prove_step 441: 513.938583ms
Nova::prove_step 442: 534.014791ms
Nova::prove_step 443: 521.582458ms
Nova::prove_step 444: 524.450291ms
Nova::prove_step 445: 526.119333ms
Nova::prove_step 446: 527.859916ms
Nova::prove_step 447: 522.272791ms
Nova::prove_step 448: 534.115709ms
Nova::prove_step 449: 526.173375ms
Nova::prove_step 450: 523.90125ms
Nova::prove_step 451: 528.554333ms
Nova::prove_step 452: 528.291541ms
Nova::prove_step 453: 541.878292ms
Nova::prove_step 454: 533.962208ms
Nova::prove_step 455: 519.74425ms
Nova::prove_step 456: 525.825375ms
Nova::prove_step 457: 531.875708ms
Nova::prove_step 458: 521.929667ms
Nova::prove_step 459: 530.267167ms
Nova::prove_step 460: 534.336292ms
Nova::prove_step 461: 533.348ms
Nova::prove_step 462: 542.715459ms
Nova::prove_step 463: 527.772584ms
Nova::prove_step 464: 532.600584ms
Nova::prove_step 465: 522.790584ms
Nova::prove_step 466: 525.47225ms
Nova::prove_step 467: 524.124083ms
Nova::prove_step 468: 521.177458ms
Nova::prove_step 469: 532.214375ms
Nova::prove_step 470: 521.345542ms
Nova::prove_step 471: 536.883583ms
Nova::prove_step 472: 524.445333ms
Nova::prove_step 473: 560.688917ms
Nova::prove_step 474: 527.666417ms
Nova::prove_step 475: 525.151167ms
Nova::prove_step 476: 530.803083ms
Nova::prove_step 477: 536.901375ms
Nova::prove_step 478: 527.744792ms
Nova::prove_step 479: 528.976084ms
Nova::prove_step 480: 526.353959ms
Nova::prove_step 481: 524.717667ms
Nova::prove_step 482: 519.88075ms
