Input Length: 32768
Nova-based SHA256 compression function iterations
=========================================================
Prepare Nova ProverParams & VerifierParams
Initialize FoldingScheme
PublicParams::setup, took 1.707225875s 
Generating a RecursiveSNARK...
Nova::prove_step 0: 386.139083ms
Nova::prove_step 1: 388.991959ms
Nova::prove_step 2: 614.600917ms
Nova::prove_step 3: 573.296042ms
Nova::prove_step 4: 545.488709ms
Nova::prove_step 5: 551.577417ms
Nova::prove_step 6: 542.845375ms
Nova::prove_step 7: 542.65475ms
Nova::prove_step 8: 622.831417ms
Nova::prove_step 9: 545.484958ms
Nova::prove_step 10: 525.77475ms
Nova::prove_step 11: 535.623916ms
Nova::prove_step 12: 555.037916ms
Nova::prove_step 13: 544.507584ms
Nova::prove_step 14: 523.58075ms
Nova::prove_step 15: 525.542209ms
Nova::prove_step 16: 545.336333ms
Nova::prove_step 17: 540.354584ms
Nova::prove_step 18: 537.891375ms
Nova::prove_step 19: 539.399083ms
Nova::prove_step 20: 529.560542ms
Nova::prove_step 21: 534.242917ms
Nova::prove_step 22: 532.052208ms
Nova::prove_step 23: 537.540291ms
Nova::prove_step 24: 734.515ms
Nova::prove_step 25: 550.438ms
Nova::prove_step 26: 537.839333ms
Nova::prove_step 27: 536.023625ms
Nova::prove_step 28: 531.006334ms
Nova::prove_step 29: 539.3795ms
Nova::prove_step 30: 543.682625ms
Nova::prove_step 31: 549.641041ms
Nova::prove_step 32: 536.756542ms
Nova::prove_step 33: 544.495042ms
Nova::prove_step 34: 546.315375ms
Nova::prove_step 35: 535.779042ms
Nova::prove_step 36: 531.362375ms
Nova::prove_step 37: 530.751792ms
Nova::prove_step 38: 539.453ms
Nova::prove_step 39: 533.861125ms
Nova::prove_step 40: 533.183917ms
Nova::prove_step 41: 557.197458ms
Nova::prove_step 42: 539.807125ms
Nova::prove_step 43: 531.973292ms
Nova::prove_step 44: 530.849333ms
Nova::prove_step 45: 538.210459ms
Nova::prove_step 46: 535.633208ms
Nova::prove_step 47: 533.316ms
Nova::prove_step 48: 540.469584ms
Nova::prove_step 49: 530.367292ms
Nova::prove_step 50: 535.480541ms
Nova::prove_step 51: 533.402958ms
Nova::prove_step 52: 530.817125ms
Nova::prove_step 53: 531.975542ms
Nova::prove_step 54: 539.752583ms
Nova::prove_step 55: 529.695916ms
Nova::prove_step 56: 560.263417ms
Nova::prove_step 57: 605.488375ms
Nova::prove_step 58: 579.704583ms
Nova::prove_step 59: 579.368875ms
Nova::prove_step 60: 559.872ms
Nova::prove_step 61: 570.512208ms
Nova::prove_step 62: 567.287208ms
Nova::prove_step 63: 540.261334ms
Nova::prove_step 64: 568.437041ms
Nova::prove_step 65: 569.367042ms
Nova::prove_step 66: 580.066875ms
Nova::prove_step 67: 560.530958ms
Nova::prove_step 68: 547.170542ms
Nova::prove_step 69: 559.797042ms
Nova::prove_step 70: 552.130667ms
Nova::prove_step 71: 550.341084ms
Nova::prove_step 72: 559.689541ms
Nova::prove_step 73: 551.37525ms
Nova::prove_step 74: 543.94425ms
Nova::prove_step 75: 543.196125ms
Nova::prove_step 76: 552.893167ms
Nova::prove_step 77: 573.418709ms
Nova::prove_step 78: 540.415125ms
Nova::prove_step 79: 535.084292ms
Nova::prove_step 80: 527.406333ms
Nova::prove_step 81: 525.843167ms
Nova::prove_step 82: 528.824375ms
Nova::prove_step 83: 529.846042ms
Nova::prove_step 84: 541.3585ms
Nova::prove_step 85: 562.819084ms
Nova::prove_step 86: 550.342917ms
Nova::prove_step 87: 533.037041ms
Nova::prove_step 88: 534.618708ms
Nova::prove_step 89: 528.55275ms
Nova::prove_step 90: 532.05975ms
Nova::prove_step 91: 533.558792ms
Nova::prove_step 92: 531.787959ms
Nova::prove_step 93: 532.264875ms
Nova::prove_step 94: 531.736666ms
Nova::prove_step 95: 539.731375ms
Nova::prove_step 96: 546.391208ms
Nova::prove_step 97: 535.039833ms
Nova::prove_step 98: 538.0715ms
Nova::prove_step 99: 532.473208ms
Nova::prove_step 100: 527.247583ms
Nova::prove_step 101: 531.518333ms
Nova::prove_step 102: 540.414667ms
Nova::prove_step 103: 538.381958ms
Nova::prove_step 104: 545.368958ms
Nova::prove_step 105: 538.110084ms
Nova::prove_step 106: 537.84875ms
Nova::prove_step 107: 538.627334ms
Nova::prove_step 108: 534.72375ms
Nova::prove_step 109: 533.786209ms
Nova::prove_step 110: 551.090834ms
Nova::prove_step 111: 540.704792ms
Nova::prove_step 112: 536.026791ms
Nova::prove_step 113: 531.331125ms
Nova::prove_step 114: 567.759417ms
Nova::prove_step 115: 521.161ms
Nova::prove_step 116: 528.7465ms
Nova::prove_step 117: 534.148834ms
Nova::prove_step 118: 535.115375ms
Nova::prove_step 119: 533.251375ms
Nova::prove_step 120: 531.30325ms
Nova::prove_step 121: 528.432458ms
Nova::prove_step 122: 541.71825ms
Nova::prove_step 123: 528.449708ms
Nova::prove_step 124: 535.192791ms
Nova::prove_step 125: 534.2825ms
Nova::prove_step 126: 533.468208ms
Nova::prove_step 127: 535.733ms
Nova::prove_step 128: 536.322916ms
Nova::prove_step 129: 530.991416ms
Nova::prove_step 130: 528.183375ms
Nova::prove_step 131: 526.859833ms
Nova::prove_step 132: 545.242709ms
Nova::prove_step 133: 539.735541ms
Nova::prove_step 134: 729.860167ms
Nova::prove_step 135: 550.31175ms
Nova::prove_step 136: 544.487417ms
Nova::prove_step 137: 535.509416ms
Nova::prove_step 138: 532.793792ms
Nova::prove_step 139: 537.413834ms
Nova::prove_step 140: 537.163458ms
Nova::prove_step 141: 539.945958ms
Nova::prove_step 142: 526.677542ms
Nova::prove_step 143: 521.438084ms
Nova::prove_step 144: 534.838458ms
Nova::prove_step 145: 533.359458ms
Nova::prove_step 146: 533.041291ms
Nova::prove_step 147: 533.285375ms
Nova::prove_step 148: 528.573708ms
Nova::prove_step 149: 525.211041ms
Nova::prove_step 150: 548.474083ms
Nova::prove_step 151: 527.629125ms
Nova::prove_step 152: 562.733667ms
Nova::prove_step 153: 528.111958ms
Nova::prove_step 154: 525.620833ms
Nova::prove_step 155: 524.671125ms
Nova::prove_step 156: 527.3425ms
Nova::prove_step 157: 526.10975ms
Nova::prove_step 158: 528.294917ms
Nova::prove_step 159: 526.194958ms
Nova::prove_step 160: 524.77475ms
Nova::prove_step 161: 527.476333ms
Nova::prove_step 162: 522.044583ms
Nova::prove_step 163: 524.378708ms
Nova::prove_step 164: 528.13825ms
Nova::prove_step 165: 525.553458ms
Nova::prove_step 166: 538.144834ms
Nova::prove_step 167: 533.687041ms
Nova::prove_step 168: 535.636542ms
Nova::prove_step 169: 525.777542ms
Nova::prove_step 170: 543.65425ms
Nova::prove_step 171: 526.098208ms
Nova::prove_step 172: 525.327625ms
Nova::prove_step 173: 525.680375ms
Nova::prove_step 174: 525.535417ms
Nova::prove_step 175: 540.863041ms
Nova::prove_step 176: 527.3755ms
Nova::prove_step 177: 526.1025ms
Nova::prove_step 178: 529.055583ms
Nova::prove_step 179: 527.443916ms
Nova::prove_step 180: 525.964375ms
Nova::prove_step 181: 522.867667ms
Nova::prove_step 182: 531.775541ms
Nova::prove_step 183: 526.137166ms
Nova::prove_step 184: 542.105708ms
Nova::prove_step 185: 528.929208ms
Nova::prove_step 186: 533.298959ms
Nova::prove_step 187: 553.753ms
Nova::prove_step 188: 529.580292ms
Nova::prove_step 189: 532.23575ms
Nova::prove_step 190: 525.074791ms
Nova::prove_step 191: 534.393208ms
Nova::prove_step 192: 521.629583ms
Nova::prove_step 193: 523.034125ms
Nova::prove_step 194: 525.542ms
Nova::prove_step 195: 523.0825ms
Nova::prove_step 196: 531.484208ms
Nova::prove_step 197: 525.895542ms
Nova::prove_step 198: 525.259916ms
Nova::prove_step 199: 533.28175ms
Nova::prove_step 200: 531.659209ms
Nova::prove_step 201: 530.278958ms
Nova::prove_step 202: 524.499417ms
Nova::prove_step 203: 524.002167ms
Nova::prove_step 204: 521.283083ms
Nova::prove_step 205: 529.159625ms
Nova::prove_step 206: 528.582708ms
Nova::prove_step 207: 533.502667ms
Nova::prove_step 208: 527.582209ms
Nova::prove_step 209: 542.11425ms
Nova::prove_step 210: 526.482375ms
Nova::prove_step 211: 523.990917ms
Nova::prove_step 212: 532.186292ms
Nova::prove_step 213: 525.696083ms
Nova::prove_step 214: 522.7745ms
Nova::prove_step 215: 540.350125ms
Nova::prove_step 216: 524.876167ms
Nova::prove_step 217: 527.001792ms
Nova::prove_step 218: 538.528667ms
Nova::prove_step 219: 524.237ms
Nova::prove_step 220: 521.703334ms
Nova::prove_step 221: 523.721875ms
Nova::prove_step 222: 526.759708ms
Nova::prove_step 223: 534.634042ms
Nova::prove_step 224: 538.849209ms
Nova::prove_step 225: 519.315375ms
Nova::prove_step 226: 531.884792ms
Nova::prove_step 227: 549.36875ms
Nova::prove_step 228: 525.515458ms
Nova::prove_step 229: 519.232042ms
Nova::prove_step 230: 528.460625ms
Nova::prove_step 231: 540.826666ms
Nova::prove_step 232: 537.00175ms
Nova::prove_step 233: 527.54175ms
Nova::prove_step 234: 528.178375ms
Nova::prove_step 235: 527.17425ms
Nova::prove_step 236: 521.026958ms
Nova::prove_step 237: 527.619584ms
Nova::prove_step 238: 539.110041ms
Nova::prove_step 239: 528.144125ms
Nova::prove_step 240: 525.021792ms
Nova::prove_step 241: 525.694917ms
Nova::prove_step 242: 528.760542ms
Nova::prove_step 243: 534.166ms
Nova::prove_step 244: 525.280125ms
Nova::prove_step 245: 520.700708ms
Nova::prove_step 246: 531.966625ms
Nova::prove_step 247: 585.121125ms
Nova::prove_step 248: 538.01475ms
Nova::prove_step 249: 530.110875ms
Nova::prove_step 250: 526.95375ms
Nova::prove_step 251: 521.261ms
Nova::prove_step 252: 515.713292ms
Nova::prove_step 253: 542.492ms
Nova::prove_step 254: 552.462917ms
Nova::prove_step 255: 537.935917ms
Nova::prove_step 256: 528.879458ms
Nova::prove_step 257: 531.448458ms
Nova::prove_step 258: 526.765667ms
Nova::prove_step 259: 523.795541ms
Nova::prove_step 260: 528.899333ms
Nova::prove_step 261: 527.026875ms
Nova::prove_step 262: 522.873ms
Nova::prove_step 263: 519.833583ms
Nova::prove_step 264: 526.414084ms
Nova::prove_step 265: 576.98975ms
Nova::prove_step 266: 526.011083ms
Nova::prove_step 267: 530.76125ms
Nova::prove_step 268: 527.426791ms
Nova::prove_step 269: 527.398291ms
Nova::prove_step 270: 530.151291ms
Nova::prove_step 271: 525.373417ms
Nova::prove_step 272: 526.270167ms
Nova::prove_step 273: 533.172583ms
Nova::prove_step 274: 528.209917ms
Nova::prove_step 275: 522.445458ms
Nova::prove_step 276: 541.07925ms
Nova::prove_step 277: 523.729417ms
Nova::prove_step 278: 530.091875ms
Nova::prove_step 279: 526.230083ms
Nova::prove_step 280: 531.243958ms
Nova::prove_step 281: 527.884208ms
Nova::prove_step 282: 527.204709ms
Nova::prove_step 283: 548.216084ms
Nova::prove_step 284: 532.708375ms
Nova::prove_step 285: 528.413583ms
Nova::prove_step 286: 526.876667ms
Nova::prove_step 287: 524.814416ms
Nova::prove_step 288: 528.2385ms
Nova::prove_step 289: 524.867042ms
Nova::prove_step 290: 516.88ms
Nova::prove_step 291: 538.222083ms
Nova::prove_step 292: 525.176875ms
Nova::prove_step 293: 525.276083ms
Nova::prove_step 294: 523.392042ms
Nova::prove_step 295: 523.063292ms
Nova::prove_step 296: 524.078375ms
Nova::prove_step 297: 537.640916ms
Nova::prove_step 298: 530.895833ms
Nova::prove_step 299: 527.103916ms
Nova::prove_step 300: 536.600583ms
Nova::prove_step 301: 533.007709ms
Nova::prove_step 302: 524.984375ms
Nova::prove_step 303: 524.805166ms
Nova::prove_step 304: 534.619375ms
Nova::prove_step 305: 523.10775ms
Nova::prove_step 306: 519.743167ms
Nova::prove_step 307: 518.304ms
Nova::prove_step 308: 525.138ms
Nova::prove_step 309: 529.093583ms
Nova::prove_step 310: 520.844542ms
Nova::prove_step 311: 528.895708ms
Nova::prove_step 312: 528.602ms
Nova::prove_step 313: 526.874584ms
Nova::prove_step 314: 522.441708ms
Nova::prove_step 315: 526.567083ms
Nova::prove_step 316: 540.18125ms
Nova::prove_step 317: 526.707042ms
Nova::prove_step 318: 550.013084ms
Nova::prove_step 319: 539.785166ms
Nova::prove_step 320: 533.7725ms
Nova::prove_step 321: 533.919208ms
Nova::prove_step 322: 553.900833ms
Nova::prove_step 323: 548.016209ms
Nova::prove_step 324: 561.750208ms
Nova::prove_step 325: 546.374916ms
Nova::prove_step 326: 724.9735ms
Nova::prove_step 327: 550.239667ms
Nova::prove_step 328: 552.994125ms
Nova::prove_step 329: 539.411416ms
Nova::prove_step 330: 537.517625ms
Nova::prove_step 331: 555.63875ms
Nova::prove_step 332: 555.046583ms
Nova::prove_step 333: 527.810166ms
Nova::prove_step 334: 541.1085ms
Nova::prove_step 335: 542.387916ms
Nova::prove_step 336: 544.619417ms
Nova::prove_step 337: 536.254125ms
Nova::prove_step 338: 553.995542ms
Nova::prove_step 339: 569.758416ms
Nova::prove_step 340: 545.730291ms
Nova::prove_step 341: 539.039875ms
Nova::prove_step 342: 530.909875ms
Nova::prove_step 343: 539.800708ms
Nova::prove_step 344: 547.621958ms
Nova::prove_step 345: 529.865667ms
Nova::prove_step 346: 530.686125ms
Nova::prove_step 347: 547.616917ms
Nova::prove_step 348: 533.403834ms
Nova::prove_step 349: 534.447416ms
Nova::prove_step 350: 531.614958ms
Nova::prove_step 351: 526.018167ms
Nova::prove_step 352: 531.044875ms
Nova::prove_step 353: 527.952625ms
Nova::prove_step 354: 528.401792ms
Nova::prove_step 355: 524.233416ms
Nova::prove_step 356: 534.616417ms
Nova::prove_step 357: 536.534ms
Nova::prove_step 358: 530.7545ms
Nova::prove_step 359: 639.523209ms
Nova::prove_step 360: 545.755208ms
Nova::prove_step 361: 545.817834ms
Nova::prove_step 362: 529.376875ms
Nova::prove_step 363: 536.515667ms
Nova::prove_step 364: 561.8815ms
Nova::prove_step 365: 528.912417ms
Nova::prove_step 366: 532.507625ms
Nova::prove_step 367: 525.435541ms
Nova::prove_step 368: 527.616833ms
Nova::prove_step 369: 664.199792ms
Nova::prove_step 370: 794.356625ms
Nova::prove_step 371: 565.063375ms
Nova::prove_step 372: 568.668125ms
Nova::prove_step 373: 562.656292ms
Nova::prove_step 374: 553.072125ms
Nova::prove_step 375: 569.67225ms
Nova::prove_step 376: 705.51625ms
Nova::prove_step 377: 586.971291ms
Nova::prove_step 378: 570.983584ms
Nova::prove_step 379: 584.190042ms
Nova::prove_step 380: 660.0795ms
Nova::prove_step 381: 578.746458ms
Nova::prove_step 382: 557.711292ms
Nova::prove_step 383: 556.614875ms
Nova::prove_step 384: 606.89625ms
Nova::prove_step 385: 610.272042ms
Nova::prove_step 386: 563.15425ms
Nova::prove_step 387: 577.370084ms
Nova::prove_step 388: 647.386791ms
Nova::prove_step 389: 599.452833ms
Nova::prove_step 390: 585.822167ms
Nova::prove_step 391: 636.483834ms
Nova::prove_step 392: 585.68475ms
Nova::prove_step 393: 628.494625ms
Nova::prove_step 394: 571.459959ms
Nova::prove_step 395: 667.005209ms
Nova::prove_step 396: 577.065708ms
Nova::prove_step 397: 599.854875ms
Nova::prove_step 398: 535.903083ms
Nova::prove_step 399: 567.078291ms
Nova::prove_step 400: 560.349167ms
Nova::prove_step 401: 542.197917ms
Nova::prove_step 402: 550.342417ms
Nova::prove_step 403: 550.779167ms
Nova::prove_step 404: 534.312709ms
Nova::prove_step 405: 537.26525ms
Nova::prove_step 406: 540.345625ms
Nova::prove_step 407: 582.402625ms
Nova::prove_step 408: 552.94925ms
Nova::prove_step 409: 546.368708ms
Nova::prove_step 410: 543.235125ms
Nova::prove_step 411: 543.742834ms
Nova::prove_step 412: 526.697291ms
Nova::prove_step 413: 552.428542ms
Nova::prove_step 414: 535.963709ms
Nova::prove_step 415: 531.144917ms
Nova::prove_step 416: 528.883709ms
Nova::prove_step 417: 542.403917ms
Nova::prove_step 418: 539.253667ms
Nova::prove_step 419: 524.0155ms
Nova::prove_step 420: 522.477ms
Nova::prove_step 421: 540.646625ms
Nova::prove_step 422: 522.766458ms
Nova::prove_step 423: 529.136167ms
Nova::prove_step 424: 525.59525ms
Nova::prove_step 425: 518.267ms
Nova::prove_step 426: 533.934792ms
Nova::prove_step 427: 524.572458ms
Nova::prove_step 428: 523.813333ms
Nova::prove_step 429: 528.757333ms
Nova::prove_step 430: 564.726208ms
Nova::prove_step 431: 536.316334ms
Nova::prove_step 432: 529.561334ms
Nova::prove_step 433: 532.620291ms
Nova::prove_step 434: 523.9455ms
Nova::prove_step 435: 528.841833ms
Nova::prove_step 436: 526.242ms
Nova::prove_step 437: 531.548333ms
Nova::prove_step 438: 521.329459ms
Nova::prove_step 439: 540.73225ms
Nova::prove_step 440: 538.068ms
Nova::prove_step 441: 548.486667ms
Nova::prove_step 442: 523.97625ms
Nova::prove_step 443: 528.745625ms
Nova::prove_step 444: 522.625833ms
Nova::prove_step 445: 535.165375ms
Nova::prove_step 446: 537.192416ms
Nova::prove_step 447: 532.854167ms
Nova::prove_step 448: 530.98625ms
Nova::prove_step 449: 521.832792ms
Nova::prove_step 450: 526.73375ms
Nova::prove_step 451: 538.333875ms
Nova::prove_step 452: 522.162ms
Nova::prove_step 453: 527.293917ms
Nova::prove_step 454: 537.685958ms
Nova::prove_step 455: 530.36125ms
Nova::prove_step 456: 531.183791ms
Nova::prove_step 457: 525.836167ms
Nova::prove_step 458: 526.771708ms
Nova::prove_step 459: 524.286334ms
Nova::prove_step 460: 521.822125ms
Nova::prove_step 461: 526.422167ms
Nova::prove_step 462: 524.882584ms
Nova::prove_step 463: 531.7455ms
Nova::prove_step 464: 533.889ms
Nova::prove_step 465: 527.705458ms
Nova::prove_step 466: 521.844417ms
Nova::prove_step 467: 683.490542ms
Nova::prove_step 468: 537.567292ms
Nova::prove_step 469: 537.495333ms
Nova::prove_step 470: 536.09125ms
Nova::prove_step 471: 561.06ms
Nova::prove_step 472: 523.092667ms
Nova::prove_step 473: 536.559459ms
Nova::prove_step 474: 534.762125ms
Nova::prove_step 475: 534.397042ms
Nova::prove_step 476: 526.148709ms
Nova::prove_step 477: 537.024625ms
Nova::prove_step 478: 525.540666ms
Nova::prove_step 479: 528.146917ms
Nova::prove_step 480: 521.23925ms
Nova::prove_step 481: 535.822458ms
Nova::prove_step 482: 526.54025ms
